32 1.133333333 -0.005233208 5 4,1
63 2.705882353 0.005337082 6 5,2
33 2 -0.003449782 4 3,1
52 1.888888889 0.00233376 5 5,1
36 4.142857143 0.011131787 6 6,2
21 1.333333333 -0.008456261 6 5,1
41 3.555555556 -0.010891335 12 11,2
75 2.947368421 0.018670572 24 7,1
134 5.090909091 -0.004223694 26 5.5,2
115 1.948717949 0.006980883 10 4,2
100 1.777777778 0.003232278 13 5.5,1
69 4.307692308 0.026781383 6 6,1
72 4.538461538 -0.023280501 12 1.4,1
75 2.125 -0.043233849 3 3,1
27 2.375 0.003581224 8 7,1
26 4.2 -0.007550378 11 11,0
35 3.375 -0.0073346 5 4,2
71 3.733333333 -0.032532334 4 4,2
130 3.482758621 -0.048699845 44 10,2
174 3.702702703 -0.006283739 27 12.5,2
97 4.388888889 0.05514703 14 14,0
78 3.333333333 0.019656898 13 5.5,0
118 2.189189189 -0.02490784 15 4,1
132 2.142857143 -0.092846286 13 0.857142857,1
130 2.714285714 -0.005026711 11 1.2,0
73 2.842105263 0.046849352 9 9,2
227 3.203703704 -0.026079301 49 5.125,2
182 2.714285714 0.000278005 40 9,2
136 1.833333333 0.010629032 17 7.5,1
107 1.972222222 0.049968122 17 16,2
273 4.055555556 -0.035077503 62 11.4,2
802 3.505617978 0.003987783 174 6.909090909,2
1351 3.707317073 0.025005493 295 6.195121951,2
1871 3.423167849 0.134180379 362 4.65625,2
1234 3.072607261 0.179148999 263 5.743589744,2
1001 2.791666667 0.027486897 232 4.395348837,0
685 2.231132075 -0.020619827 125 3.464285714,2
591 2.560240964 -0.109476168 96 2.428571429,0
636 2.593220339 0.018429009 62 11.4,1
484 3.067226891 0.035336667 90 10.25,1
555 2.535031847 -0.072552791 96 5.4,2
408 2.428571429 0.018069204 54 2.6,0
451 3.026785714 0.064467799 52 3.333333333,1
782 3.320441989 -0.033276384 171 4.896551724,2
896 2.895652174 -0.012360792 109 3.541666667,2
458 2.343065693 0.054405583 67 2.941176471,1
399 2.381355932 0.018256301 96 5.857142857,0
530 2.117647059 -0.014059766 44 2.666666667,1
296 1.901960784 -0.056767453 43 9.75,2
367 2.033057851 -0.013724424 28 13,1
424 2.655172414 0.05262819 34 5.8,2
410 2.333333333 -0.005190171 40 39,1
